Cluster_label	Cluster	Pairwise_similarities
78	11	0.159;0.07;0.193;0.077;0.07;0.193;0.083;0.083;0.077;0.193;0.077;0.067;0.073;0.073;0.067;0.073;0.13;0.097;0.073;0.097;0.073;0.065;0.094;0.126;0.065;0.067;0.067;0.094;0.067;0.065;0.073;0.065;0.17;0.073;0.073;0.073;0.17;0.073;0.094;0.073;0.073;0.073;0.112;0.107;0.073;0.065;0.067;0.067;0.094;0.067;0.065;0.073;0.073;0.073;0.17;0.17;0.078;0.073;0.102;0.073;0.073;0.097;0.073;0.199;0.073;0.17
43	12	0.071
2	13	0.087;0.067;0.087;0.067;0.087;0.067
27	14	0.107;0.211;0.069;0.067;0.073;0.211;0.107;0.073;0.107;0.107;0.098;0.112;0.073;0.107;0.131;0.089;0.107;0.069;0.067;0.073;0.211;0.107;0.073;0.107;0.111;0.069;0.069;0.075;0.136;0.067;0.067;0.067;0.073;0.089;0.065;0.073;0.078;0.073;0.073;0.107;0.073;0.107;0.122;0.107;0.073
56	15	0.073;0.078;0.073;0.067;0.078;0.073;0.069;0.073;0.126;0.094;0.126;0.094;0.121;0.069;0.107;0.094;0.126;0.141;0.094;0.069;0.073;0.094;0.112;0.112;0.069;0.073;0.094;0.094;0.069;0.073;0.112;0.069;0.073;0.069;0.073;0.069
91	16	0.07;0.07;0.121;0.07;0.07;0.121;0.073;0.119;0.073;0.073;0.073;0.227;0.227;0.227;0.227;0.227;0.173;0.227;0.249;0.227;0.073
18	17	0.07;0.067;0.067;0.067;0.07;0.07;0.07;0.089;0.089;0.112
28	18	0.073;0.067;0.089;0.071;0.112;0.067;0.121;0.073;0.073;0.067;0.065;0.067;0.073;0.089;0.071
16	19	0.087;0.204;0.073;0.044;0.161;0.151;0.126;0.087;0.073;0.044;0.087;0.182;0.073;0.073;0.044;0.194;0.151;0.194;0.044;0.073;0.073;0.073;0.044;0.044;0.044;0.126;0.194;0.126
73	20	0.073;0.079;0.107;0.073;0.073;0.079;0.073;0.073;0.073;0.079;0.084;0.084;0.218;0.073;0.161
7	21	0.073;0.073;0.073;0.073;0.073;0.073
15	22	0.071;0.071;0.121;0.121;0.073;0.075;0.073;0.115;0.073;0.163
26	23	0.067;0.075;0.098;0.075;0.098;0.065;0.073;0.073;0.065;0.13;0.13;0.073;0.185;0.094;0.073
