Cluster	No_of_drugs	No_of_drugs_with_mcs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	123	7503	0	1	0.465367201711936	0.45
2	56	56	1540	0.0714285714285714	1	0.494634004951132	0.5
3	37	37	666	0.192307692307692	1	0.525285837860344	0.5
4	36	36	630	0.117647058823529	1	0.482607309305489	0.454545454545455
5	33	33	528	0.145161290322581	1	0.479983912892997	0.468627450980392
6	26	26	325	0.133333333333333	1	0.424040573061179	0.409090909090909
7	25	25	300	0	1	0.455637657915247	0.454545454545455
8	24	23	253	0	1	0.490077260931931	0.478260869565217
9	20	18	153	0	0.95	0.43746573646002	0.411764705882353
10	19	17	136	0.266666666666667	1	0.53187180573984	0.5
11	16	16	120	0.193548387096774	1	0.434975213616368	0.416666666666667
12	15	13	78	0.227272727272727	0.857142857142857	0.440599023248948	0.409090909090909
13	14	14	91	0.25	1	0.522455836466197	0.5
14	14	14	91	0.166666666666667	0.8	0.418639372909097	0.411764705882353
15	14	14	91	0.241379310344828	1	0.620291997047761	0.681818181818182
16	13	12	66	0	0.952380952380952	0.432797686714352	0.388888888888889
17	12	10	45	0.238095238095238	0.952380952380952	0.576010101010101	0.619047619047619
18	12	11	55	0.142857142857143	0.916666666666667	0.509424783004574	0.5
19	12	12	66	0.126984126984127	1	0.439158004547186	0.4
20	11	11	55	0.37037037037037	1	0.643779597576144	0.619047619047619
21	9	9	36	0.2	0.875	0.426763394557512	0.405882352941176
22	9	9	36	0.236842105263158	0.75	0.534593184724056	0.522727272727272
23	9	9	36	0.3	0.916666666666667	0.582748539586775	0.588235294117647
24	9	9	36	0.266666666666667	1	0.583961954819513	0.55
25	8	8	28	0.181818181818182	0.727272727272727	0.408675401978973	0.369318181818182
26	8	8	28	0.315789473684211	0.916666666666667	0.478111846745387	0.424812030075188
27	7	6	15	0.217391304347826	0.909090909090909	0.508948684166075	0.461538461538462
28	7	7	21	0.208333333333333	0.666666666666667	0.394260552296267	0.333333333333333
29	7	7	21	0.194444444444444	0.7	0.430851799601799	0.40625
30	7	7	21	0.115942028985507	0.75	0.469665496050161	0.476190476190476
31	6	5	10	0.411764705882353	0.75	0.557436974789916	0.470588235294118
32	6	6	15	0.36	0.846153846153846	0.486177655677656	0.4375
33	5	5	10	0.125	0.733333333333333	0.467070707070707	0.461111111111111
34	5	5	10	0.2	0.681818181818182	0.443193473193473	0.404545454545455
35	5	5	10	0.3	0.666666666666667	0.499275362318841	0.533333333333333
36	5	5	10	0.142857142857143	0.772727272727273	0.336705749493473	0.319327731092437
37	5	5	10	0.181818181818182	0.636363636363636	0.380127360562143	0.384920634920635
38	5	5	10	0.379310344827586	0.842105263157895	0.58987908643081	0.568181818181818
39	5	5	10	0.178571428571429	0.583333333333333	0.344047619047619	0.375
40	5	5	10	0.352941176470588	0.909090909090909	0.622105614973262	0.59375
41	5	5	10	0.162162162162162	0.838709677419355	0.437036170710443	0.466216216216216
42	5	5	10	0.258064516129032	0.933333333333333	0.478780433622127	0.395652173913044
43	5	5	10	0.25	0.958333333333333	0.493419822346891	0.42271505376344
44	4	4	6	0.181818181818182	0.727272727272727	0.412587412587413	0.374125874125875
45	4	4	6	0.2	0.6	0.422222222222222	0.433333333333334
46	4	4	6	0.454545454545455	0.9	0.621212121212121	0.618181818181818
47	4	4	6	0.25	0.739130434782609	0.494162640901771	0.454911433172303
48	4	4	6	0.294117647058824	0.666666666666667	0.452623716153128	0.415294117647059
49	4	2	1	0.4	0.4	0.4	0.4
50	4	4	6	0.473684210526316	0.666666666666667	0.564814814814815	0.54093567251462
51	4	4	6	0.255813953488372	0.909090909090909	0.556945423224493	0.512626262626263
52	4	3	3	0.294117647058824	0.615384615384615	0.457013574660634	0.461538461538462
53	4	4	6	0.5	0.857142857142857	0.6494708994709	0.634920634920635
54	4	4	6	0.5	0.914285714285714	0.586288998357964	0.525862068965517
55	4	4	6	0.37037037037037	0.571428571428571	0.460537918871252	0.458333333333333
56	4	4	6	0.277777777777778	0.666666666666667	0.463888888888889	0.475
57	4	4	6	0.315789473684211	0.764705882352941	0.440846233230134	0.386996904024767
58	4	4	6	0.307692307692308	0.5	0.41283175888439	0.417982456140351
59	3	3	3	0.291666666666667	0.458333333333333	0.375	0.375
60	3	3	3	0.379310344827586	0.625	0.522270114942529	0.5625
61	3	3	3	0.45	0.736842105263158	0.606140350877193	0.631578947368421
62	3	3	3	0.352941176470588	0.666666666666667	0.562091503267974	0.666666666666667
63	3	2	1	0.307692307692308	0.307692307692308	0.307692307692308	0.307692307692308
64	3	3	3	0.224489795918367	0.944444444444444	0.491496598639456	0.305555555555556
65	3	3	3	0.363636363636364	0.657142857142857	0.491774891774892	0.454545454545455
66	3	3	3	0.5	0.714285714285714	0.595238095238095	0.571428571428571
67	3	3	3	0	0.333333333333333	0.21021021021021	0.297297297297297
68	3	3	3	0.458333333333333	0.714285714285714	0.557539682539682	0.5
69	3	3	3	0.35	0.578947368421053	0.467543859649123	0.473684210526316
70	3	3	3	0.444444444444444	0.666666666666667	0.57037037037037	0.6
71	3	3	3	0.2	0.407407407407407	0.338271604938271	0.407407407407407
72	3	2	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667
73	3	3	3	0.230769230769231	1	0.501165501165501	0.272727272727273
74	3	3	3	0.473684210526316	1	0.657894736842105	0.5
75	3	3	3	0.0909090909090909	0.238095238095238	0.17027417027417	0.181818181818182
76	3	3	3	0.153846153846154	0.91304347826087	0.406911928651059	0.153846153846154
77	3	3	3	0.384615384615385	0.956521739130435	0.591973244147157	0.434782608695652
78	3	3	3	0.185185185185185	0.538461538461538	0.395061728395062	0.461538461538462
79	3	3	3	0.3	0.8	0.5	0.4
80	3	3	3	0.347826086956522	0.695652173913043	0.474262868565717	0.379310344827586
81	3	3	3	0.4	0.52	0.44	0.4
82	3	3	3	0.444444444444444	0.590909090909091	0.493265993265993	0.444444444444444
