Distance	Confidence
0.7205	0.9744
0.7236	0.9744
0.7266	0.9743
0.7297	0.9742
0.7328	0.9741
0.7359	0.974
0.739	0.9739
0.7421	0.9738
0.7452	0.9737
0.7483	0.9736
0.7514	0.9735
0.7545	0.9734
0.7576	0.9733
0.7607	0.9732
0.7638	0.9731
0.7668	0.973
0.7699	0.9729
0.773	0.9728
0.7761	0.9727
0.7792	0.9726
0.7823	0.9725
0.7854	0.9724
0.7885	0.9723
0.7916	0.9722
0.7947	0.9721
0.7978	0.9719
0.8009	0.9718
0.8039	0.9717
0.807	0.9716
0.8101	0.9715
0.8132	0.9714
0.8163	0.9713
0.8194	0.9712
0.8225	0.9711
0.8256	0.971
0.8287	0.9708
0.8318	0.9707
0.8349	0.9706
0.838	0.9705
0.8411	0.9704
0.8441	0.9703
0.8472	0.9701
0.8503	0.97
0.8534	0.9699
0.8565	0.9698
0.8596	0.9697
0.8627	0.9695
0.8658	0.9694
0.8689	0.9693
0.872	0.9692
0.8751	0.969
0.8782	0.9689
0.8813	0.9688
0.8843	0.9687
0.8874	0.9685
0.8905	0.9684
0.8936	0.9683
0.8967	0.9681
0.8998	0.968
0.9029	0.9679
0.906	0.9677
0.9091	0.9676
0.9122	0.9675
0.9153	0.9673
0.9184	0.9672
0.9214	0.9671
0.9245	0.9669
0.9276	0.9668
0.9307	0.9666
0.9338	0.9665
0.9369	0.9663
0.94	0.9662
0.9431	0.9661
0.9462	0.9659
0.9493	0.9658
0.9524	0.9656
0.9555	0.9655
0.9586	0.9653
0.9616	0.9652
0.9647	0.965
0.9678	0.9649
0.9709	0.9647
0.974	0.9646
0.9771	0.9644
0.9802	0.9643
0.9833	0.9641
0.9864	0.9639
0.9895	0.9638
0.9926	0.9636
0.9957	0.9635
0.9988	0.9633
1.0018	0.9631
1.0049	0.963
1.008	0.9628
1.0111	0.9626
1.0142	0.9625
1.0173	0.9623
1.0204	0.9621
1.0235	0.962
1.0266	0.9618
1.0297	0.9616
1.0328	0.9614
1.0359	0.9613
1.0389	0.9611
1.042	0.9609
1.0451	0.9607
1.0482	0.9606
1.0513	0.9604
1.0544	0.9602
1.0575	0.96
1.0606	0.9598
1.0637	0.9596
1.0668	0.9595
1.0699	0.9593
1.073	0.9591
1.0761	0.9589
1.0791	0.9587
1.0822	0.9585
1.0853	0.9583
1.0884	0.9581
1.0915	0.9579
1.0946	0.9577
1.0977	0.9575
1.1008	0.9573
1.1039	0.9571
1.107	0.9569
1.1101	0.9567
1.1132	0.9565
1.1163	0.9563
1.1193	0.9561
1.1224	0.9559
1.1255	0.9557
1.1286	0.9555
1.1317	0.9553
1.1348	0.955
1.1379	0.9548
1.141	0.9546
1.1441	0.9544
1.1472	0.9542
1.1503	0.9539
1.1534	0.9537
1.1564	0.9535
1.1595	0.9533
1.1626	0.9531
1.1657	0.9528
1.1688	0.9526
1.1719	0.9524
1.175	0.9521
1.1781	0.9519
1.1812	0.9517
1.1843	0.9514
1.1874	0.9512
1.1905	0.951
1.1936	0.9507
1.1966	0.9505
1.1997	0.9502
1.2028	0.95
1.2059	0.9497
1.209	0.9495
1.2121	0.9492
1.2152	0.949
1.2183	0.9487
1.2214	0.9485
1.2245	0.9482
1.2276	0.948
1.2307	0.9477
1.2338	0.9475
1.2368	0.9472
1.2399	0.9469
1.243	0.9467
1.2461	0.9464
1.2492	0.9461
1.2523	0.9459
1.2554	0.9456
1.2585	0.9453
1.2616	0.9451
1.2647	0.9448
1.2678	0.9445
1.2709	0.9442
1.274	0.9439
1.277	0.9437
1.2801	0.9434
1.2832	0.9431
1.2863	0.9428
1.2894	0.9425
1.2925	0.9422
1.2956	0.9419
1.2987	0.9417
1.3018	0.9414
1.3049	0.9411
1.308	0.9408
1.3111	0.9405
1.3141	0.9402
1.3172	0.9399
1.3203	0.9396
1.3234	0.9393
1.3265	0.9389
1.3296	0.9386
1.3327	0.9383
1.3358	0.938
1.3389	0.9377
1.342	0.9374
1.3451	0.9371
1.3482	0.9368
1.3513	0.9364
1.3543	0.9361
1.3574	0.9358
1.3605	0.9355
1.3636	0.9351
1.3667	0.9348
1.3698	0.9345
1.3729	0.9341
1.376	0.9338
1.3791	0.9335
1.3822	0.9331
1.3853	0.9328
1.3884	0.9325
1.3915	0.9321
1.3945	0.9318
1.3976	0.9314
1.4007	0.9311
1.4038	0.9307
1.4069	0.9304
1.41	0.93
1.4131	0.9297
1.4162	0.9293
1.4193	0.929
1.4224	0.9286
1.4255	0.9282
1.4286	0.9279
1.4316	0.9275
1.4347	0.9272
1.4378	0.9268
1.4409	0.9264
1.444	0.926
1.4471	0.9257
1.4502	0.9253
1.4533	0.9249
1.4564	0.9245
1.4595	0.9241
1.4626	0.9238
1.4657	0.9234
1.4688	0.923
1.4718	0.9226
1.4749	0.9222
1.478	0.9218
1.4811	0.9214
1.4842	0.921
1.4873	0.9206
1.4904	0.9202
1.4935	0.9198
1.4966	0.9194
1.4997	0.919
1.5028	0.9186
1.5059	0.9182
1.509	0.9178
1.512	0.9174
1.5151	0.917
1.5182	0.9166
1.5213	0.9162
1.5244	0.9157
1.5275	0.9153
1.5306	0.9149
1.5337	0.9145
1.5368	0.914
1.5399	0.9136
1.543	0.9132
1.5461	0.9128
1.5491	0.9123
1.5522	0.9119
1.5553	0.9115
1.5584	0.911
1.5615	0.9106
1.5646	0.9101
1.5677	0.9097
1.5708	0.9092
1.5739	0.9088
1.577	0.9083
1.5801	0.9079
1.5832	0.9074
1.5863	0.907
1.5893	0.9065
1.5924	0.9061
1.5955	0.9056
1.5986	0.9051
1.6017	0.9047
1.6048	0.9042
1.6079	0.9037
1.611	0.9033
1.6141	0.9028
1.6172	0.9023
1.6203	0.9018
1.6234	0.9013
1.6265	0.9009
1.6295	0.9004
1.6326	0.8999
1.6357	0.8994
1.6388	0.8989
1.6419	0.8984
1.645	0.8979
1.6481	0.8974
1.6512	0.8969
1.6543	0.8964
1.6574	0.8959
1.6605	0.8954
1.6636	0.8949
1.6666	0.8944
1.6697	0.8939
1.6728	0.8934
1.6759	0.8929
1.679	0.8924
1.6821	0.8919
1.6852	0.8913
1.6883	0.8908
1.6914	0.8903
1.6945	0.8898
1.6976	0.8892
1.7007	0.8887
1.7038	0.8882
1.7068	0.8877
1.7099	0.8871
1.713	0.8866
1.7161	0.886
1.7192	0.8855
1.7223	0.885
1.7254	0.8844
1.7285	0.8839
1.7316	0.8833
1.7347	0.8828
1.7378	0.8822
1.7409	0.8816
1.744	0.8811
1.747	0.8805
1.7501	0.88
1.7532	0.8794
1.7563	0.8788
1.7594	0.8783
1.7625	0.8777
1.7656	0.8771
1.7687	0.8765
1.7718	0.876
1.7749	0.8754
1.778	0.8748
1.7811	0.8742
1.7841	0.8737
1.7872	0.8731
1.7903	0.8725
1.7934	0.8719
1.7965	0.8713
1.7996	0.8707
1.8027	0.8701
1.8058	0.8695
1.8089	0.8689
1.812	0.8683
1.8151	0.8677
1.8182	0.8671
1.8213	0.8665
1.8243	0.8659
1.8274	0.8652
1.8305	0.8646
1.8336	0.864
1.8367	0.8634
1.8398	0.8628
1.8429	0.8621
1.846	0.8615
1.8491	0.8609
1.8522	0.8602
1.8553	0.8596
1.8584	0.859
1.8615	0.8583
1.8645	0.8577
1.8676	0.8571
1.8707	0.8564
1.8738	0.8558
1.8769	0.8551
1.88	0.8545
1.8831	0.8538
1.8862	0.8532
1.8893	0.8525
1.8924	0.8519
1.8955	0.8512
1.8986	0.8505
1.9016	0.8499
1.9047	0.8492
1.9078	0.8486
