Symptom	SymptomName	D000039	D000196	D000542	D000787	D000789	D001014	D001022	D001023	D001024	D001145	D001164	D001172	D001195	D001228	D001249	D001250	D001261	D001281	D001607	D001716	D001987	D001991	D002037	D002095	D002177	D002305	D002310	D002311	D002312	D002313	D002639	D002805	D003047	D003139	D003323	D003324	D003327	D003329	D003371	D003440	D003453	D003550	D003920	D003922	D003924	D003926	D004417	D004695	D004696	D004826	D004844	D005203	D006073	D006255	D006332	D006333	D006344	D006345	D006349	D006469	D006491	D006557	D006660	D006973	D006976	D006985	D007012	D007022	D007024	D007251	D007819	D007822	D007826	D007827	D007829	D008133	D008169	D008175	D008478	D008944	D008946	D009058	D009164	D009181	D009202	D009203	D009205	D009298	D009303	D009304	D009362	D009382	D009400	D009617	D009765	D009959	D010003	D010018	D010019	D010020	D010024	D010490	D010493	D010494	D010996	D010997	D010998	D011009	D011020	D011024	D011030	D011081	D011111	D011649	D011654	D011655	D011656	D011657	D011665	D011666	D011928	D012120	D012127	D012128	D012131	D012141	D012214	D012222	D012806	D012829	D012830	D012848	D012852	D012893	D013174	D013586	D013611	D013612	D013613	D013617	D014069	D014123	D014134	D014262	D014263	D014264	D014376	D014397	D014648	D014693	D014826	D014917	D014927	D015207	D015508	D015535	D015663	D016491	D016535	D016706	D016724	D016883	D016918	D017180	D017202	D017544	D017545	D017564	D017565	D017703	D018192	D018376	D018410	D018879	D018880	D020181	D020182	D020215	D020217	D020246	D020370	D024741	D029424	D029481	D045169	D046789	D050197	D053840	D054059	D054537	D054556	D054990	D055008	D055034	D055963	D057767
D007859	Learning Disorders	0	0	0	0	0	0	0	0	0	1.7353123772912469	0	0	0	0	15.617811395621224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7353123772912469	0	1.7353123772912469	1.7353123772912469	0	0	0	0	3.4706247545824938	0	26.029685659368702	10.411874263747482	0	0	0	0	0	0	0	0	5.205937131873741	0	1.7353123772912469	0	1.7353123772912469	0	0	0	0	0	10.411874263747482	1.7353123772912469	0	0	0	0	1.7353123772912469	0	0	0	0	0	1.7353123772912469	0	0	0	0	0	0	0	0	1.7353123772912469	1.7353123772912469	0	0	0	0	0	0	0	0	13.882499018329975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7353123772912469	0	0	1.7353123772912469	0	0	0	0	0	0	0	36.44155992311619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7353123772912469	0	0	0	10.411874263747482	1.7353123772912469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D053609	Lethargy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	0	0	0	6.990646296409443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	3.4953231482047213	0	0	3.4953231482047213	0	0	0	0	0	0	0	6.990646296409443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D054068	Livedo Reticularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.098858170074981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.197716340149961	0	0	0	0	0	0	0	8.197716340149961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D017116	Low Back Pain	0	0	0	0	0	1.5904210228767852	0	0	4.771263068630356	0	3.1808420457535704	22.265894320274988	0	1.5904210228767852	7.952105114383925	0	0	1.5904210228767852	0	0	0	0	0	0	1.5904210228767852	0	0	0	0	0	0	0	1.5904210228767852	1.5904210228767852	0	0	0	0	0	0	3.1808420457535704	0	3.1808420457535704	0	1.5904210228767852	0	1.5904210228767852	0	0	0	1.5904210228767852	0	11.132947160137496	1.5904210228767852	0	1.5904210228767852	0	0	0	0	0	0	3.1808420457535704	9.542526137260712	1.5904210228767852	0	0	7.952105114383925	0	1.5904210228767852	0	0	0	0	0	0	0	11.132947160137496	0	0	0	0	0	0	0	1.5904210228767852	0	0	0	0	4.771263068630356	6.361684091507142	0	1.5904210228767852	38.17010454904285	0	65.20726193794819	6.361684091507142	49.303051709180345	11.132947160137496	82.70189318959285	0	0	0	1.5904210228767852	1.5904210228767852	0	0	0	0	0	0	3.1808420457535704	0	0	3.1808420457535704	0	1.5904210228767852	0	0	1.5904210228767852	0	0	0	0	0	0	0	0	0	0	0	0	9.542526137260712	0	0	0	0	0	0	0	0	0	0	0	0	3.1808420457535704	0	9.542526137260712	0	0	0	0	17.494631251644638	0	1.5904210228767852	22.265894320274988	1.5904210228767852	0	0	0	1.5904210228767852	1.5904210228767852	0	1.5904210228767852	46.12220966342677	7.952105114383925	0	0	0	0	0	1.5904210228767852	0	0	0	1.5904210228767852	0	0	14.313789205891068	28.62757841178213	0	3.1808420457535704	0	0	0	3.1808420457535704	0	0	0	1.5904210228767852	0	0	1.5904210228767852	0	0
D008569	Memory Disorders	0	0	0	1.4679976076638996	0	0	0	0	0	5.871990430655599	1.4679976076638996	1.4679976076638996	0	0	4.4039928229916985	0	0	1.4679976076638996	0	0	0	0	0	0	1.4679976076638996	0	0	0	0	0	0	0	1.4679976076638996	0	0	4.4039928229916985	2.9359952153277997	0	0	0	1.4679976076638996	0	7.3399880383194995	17.615971291966797	33.76394497626969	0	0	0	0	0	0	0	0	0	0	13.211978468975095	0	0	0	0	0	0	0	44.039928229916995	0	0	0	4.4039928229916985	2.9359952153277997	0	0	0	0	0	0	0	0	13.211978468975095	0	0	0	0	0	1.4679976076638996	1.4679976076638996	4.4039928229916985	1.4679976076638996	0	11.743980861311195	0	0	0	0	0	11.743980861311195	0	0	0	0	0	2.9359952153277997	0	0	0	0	0	0	0	0	0	0	2.9359952153277997	0	0	0	0	0	0	0	0	0	0	0	1.4679976076638996	1.4679976076638996	0	0	0	4.4039928229916985	0	0	0	0	33.76394497626969	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4679976076638996	0	4.4039928229916985	0	0	0	0	0	0	1.4679976076638996	0	0	0	0	1.4679976076638996	0	0	2.9359952153277997	0	0	0	0	0	0	0	1.4679976076638996	0	0	26.423956937950198	1.4679976076638996	0	0	1.4679976076638996	0	0	1.4679976076638996	0	0	0	1.4679976076638996	0	0	0	0	0	0	0	0	0
D008580	Meningism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.148707707121184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.074353853560592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.074353853560592	0	0	0	3.074353853560592	0	0	0	0	0	0	0	3.074353853560592	0	0	0	3.074353853560592	0	0	0	0	0	0	3.074353853560592	0	0	0	0	0	3.074353853560592	0	0	0	0	0	0	0	0	0	6.148707707121184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.074353853560592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.074353853560592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D005222	Mental Fatigue	0	0	0	0	0	0	0	0	0	7.1703589546531665	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.340717909306333	14.340717909306333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.75553843197975	0	0	0	0	0	0	0	10.75553843197975	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	25.09625634128608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.75553843197975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D008607	Mental Retardation	0	1.810893368145429	0	0	0	3.621786736290857	1.810893368145429	0	71.53028804174444	5.432680104436287	1.810893368145429	1.810893368145429	0	0	8.149020156654428	0	1.810893368145429	0	0	0	1.810893368145429	1.810893368145429	0.9054466840727144	0	2.7163400522181433	0.9054466840727144	0	3.621786736290857	16.298040313308856	0	0	0	0	6.338126788509	0	1.810893368145429	1.810893368145429	0	0	0	0	6.338126788509	8.149020156654428	26.257953838108715	9.054466840727144	0	0	1.810893368145429	0	0	0	0	9.054466840727144	0	4.527233420363571	4.527233420363571	9.959913524799855	7.243573472581715	1.810893368145429	0	0	0	0	9.959913524799855	2.7163400522181433	16.298040313308856	0	0.9054466840727144	0	5.432680104436287	0	0	0	0	0.9054466840727144	2.7163400522181433	0	1.810893368145429	0	2.7163400522181433	0.9054466840727144	0.9054466840727144	0	0	16.298040313308856	0.9054466840727144	0	0.9054466840727144	0	0	0	0	0	0.9054466840727144	154.83138297643416	0	0.9054466840727144	2.7163400522181433	0.9054466840727144	0.9054466840727144	18.108933681454285	0.9054466840727144	0.9054466840727144	0.9054466840727144	1.810893368145429	0	0	0	0	0.9054466840727144	0.9054466840727144	0	0	0	1.810893368145429	0.9054466840727144	0.9054466840727144	0	0	24.44706046996329	0	19.919827049599714	8.149020156654428	2.7163400522181433	4.527233420363571	6.338126788509	0	0	0	0	0	0.9054466840727144	0	43.46144083549029	0	0	0	0	0	0.9054466840727144	0	19.919827049599714	0	0	0	0	0	2.7163400522181433	0	0	4.527233420363571	4.527233420363571	0	0	0	0	0.9054466840727144	0.9054466840727144	0	0	0	0.9054466840727144	0	0	0	0	0	0	0	0.9054466840727144	0	3.621786736290857	0.9054466840727144	0	0	1.810893368145429	2.7163400522181433	0	0	3.621786736290857	0	0	0	0	0	0	0	0	0	0	0	1.810893368145429	0	0	0	0
D037061	Metatarsalgia	0	0	0	0	0	0	0	0	0	0	0	4.913366207639191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.913366207639191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.913366207639191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015877	Miosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09544952895845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09544952895845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09544952895845	0	10.47724764479225	2.09544952895845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D051346	Mobility Limitation	0	0	0	0	0	0	0	0	0	2.76385710334264	0	11.055428413370556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76385710334264	0	0	0	22.110856826741124	2.76385710334264	2.76385710334264	0	0	0	0	0	0	0	0	0	0	5.527714206685278	0	0	0	0	0	0	0	2.76385710334264	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76385710334264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.568713376880716	0	24.87471393008376	5.527714206685278	0	0	33.16628524011168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76385710334264	0	0	0	0	0	0	0	0	0	5.527714206685278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.34699972339848	0	0	5.527714206685278	33.16628524011168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76385710334264	0	0	0	8.29157131002792	63.568713376880716	0	8.29157131002792	0	0	0	0	0	0	0	0	0	0	0	0	0
