GeneID	GeneSymbol	# drug associations
905	CCNT2	1
219771	CCNY	3
151195	CCNYL1	1
1230	CCR1	1
2826	CCR10	1
729230	CCR2	5
1232	CCR3	3
1233	CCR4	1
1234	CCR5	4
1235	CCR6	1
1236	CCR7	5
1237	CCR8	1
10803	CCR9	1
9973	CCS	4
54462	CCSER2	2
10576	CCT2	5
7203	CCT3	6
10575	CCT4	6
22948	CCT5	5
908	CCT6A	10
10693	CCT6B	2
10574	CCT7	8
10694	CCT8	8
51622	CCZ1	2
135228	CD109	3
929	CD14	28
977	CD151	4
909	CD1A	2
914	CD2	1
131450	CD200R1	1
30835	CD209	1
100133941	CD24	4
919	CD247	3
57124	CD248	1
29126	CD274	15
80381	CD276	2
940	CD28	8
23607	CD2AP	3
10421	CD2BP2	2
9936	CD302	1
945	CD33	3
947	CD34	9
948	CD36	22
952	CD38	6
915	CD3D	3
916	CD3E	3
917	CD3G	3
920	CD4	7
958	CD40	14
959	CD40LG	22
960	CD44	32
961	CD47	3
1043	CD52	1
1604	CD55	3
965	CD58	1
966	CD59	8
967	CD63	5
968	CD68	3
969	CD69	4
970	CD70	1
972	CD74	2
941	CD80	11
975	CD81	5
3732	CD82	4
9308	CD83	7
942	CD86	31
925	CD8A	2
926	CD8B	1
928	CD9	7
4267	CD99	5
978	CDA	4
146059	CDAN1	1
8872	CDC123	2
8556	CDC14A	1
8881	CDC16	3
991	CDC20	2
993	CDC25A	5
994	CDC25B	10
995	CDC25C	21
246184	CDC26	1
996	CDC27	5
997	CDC34	4
11140	CDC37	7
55664	CDC37L1	2
51362	CDC40	2
998	CDC42	6
8476	CDC42BPA	1
9578	CDC42BPB	3
55561	CDC42BPG	1
11135	CDC42EP1	4
10602	CDC42EP3	1
23580	CDC42EP4	2
56990	CDC42SE2	1
988	CDC5L	4
990	CDC6	3
8317	CDC7	1
79577	CDC73	1
157313	CDCA2	1
83461	CDCA3	2
113130	CDCA5	4
55536	CDCA7L	1
55143	CDCA8	2
64866	CDCP1	1
999	CDH1	81
1009	CDH11	4
1012	CDH13	1
1000	CDH2	32
1001	CDH3	2
1003	CDH5	8
10423	CDIPT	3
983	CDK1	57
728642	CDK11A	1
984	CDK11B	4
51755	CDK12	2
8621	CDK13	5
5218	CDK14	1
5127	CDK16	3
5128	CDK17	1
5129	CDK18	1
1017	CDK2	67
10263	CDK2AP2	1
1019	CDK4	50
1020	CDK5	4
8851	CDK5R1	1
55755	CDK5RAP2	1
80279	CDK5RAP3	2
1021	CDK6	18
1022	CDK7	5
1025	CDK9	2
6792	CDKL5	1
1026	CDKN1A	160
1027	CDKN1B	88
1028	CDKN1C	4
1029	CDKN2A	31
55602	CDKN2AIP	5
1030	CDKN2B	4
1031	CDKN2C	3
1032	CDKN2D	5
441549	CDNF	1
1039	CDR2	1
30850	CDR2L	1
8760	CDS2	1
81620	CDT1	1
55573	CDV3	3
1045	CDX2	3
9085	CDY1	1
9425	CDYL	3
634	CEACAM1	3
1050	CEBPA	18
1051	CEBPB	24
1052	CEBPD	3
1053	CEBPE	3
10153	CEBPZ	1
27443	CECR2	1
1056	CEL	1
1990	CELA1	1
10658	CELF1	1
1952	CELSR2	1
23670	CEMIP2	1
51286	CEND1	1
1058	CENPA	2
1059	CENPB	1
1060	CENPC	2
1062	CENPE	2
1063	CENPF	4
79172	CENPO	1
401541	CENPP	1
55166	CENPQ	1
80152	CENPT	1
79682	CENPU	3
201161	CENPV	4
201254	CENPX	2
145508	CEP128	1
22994	CEP131	4
9662	CEP135	2
22995	CEP152	2
22832	CEP162	1
22897	CEP164	1
9859	CEP170	4
283638	CEP170B	2
55125	CEP192	1
11190	CEP250	1
80184	CEP290	1
9857	CEP350	1
95681	CEP41	1
11116	CEP43	2
55165	CEP55	2
9702	CEP57	2
80254	CEP63	1
23177	CEP68	2
80321	CEP70	1
55722	CEP72	1
79959	CEP76	1
84131	CEP78	1
84902	CEP89	1
90799	CEP95	2
79598	CEP97	1
10390	CEPT1	2
51148	CERCAM	1
64781	CERK	2
29956	CERS2	1
79603	CERS4	1
253782	CERS6	1
10087	CERT1	2
1066	CES1	21
8824	CES2	15
23491	CES3	1
1071	CETP	5
161502	CFAP161	1
112942	CFAP36	1
755	CFAP410	1
144535	CFAP54	1
85452	CFAP74	3
57587	CFAP97	1
629	CFB	6
1675	CFD	1
10428	CFDP1	2
3075	CFH	2
3078	CFHR1	1
3426	CFI	3
1072	CFL1	18
1073	CFL2	5
8837	CFLAR	34
1080	CFTR	40
1081	CGA	11
1082	CGB3	17
8545	CGGBP1	1
57530	CGN	1
84952	CGNL1	1
494143	CHAC2	2
10036	CHAF1A	4
8208	CHAF1B	3
283489	CHAMP1	4
1103	CHAT	3
118487	CHCHD1	2
51142	CHCHD2	1
54927	CHCHD3	4
1105	CHD1	3
9557	CHD1L	2
1106	CHD2	3
1107	CHD3	5
1108	CHD4	5
84181	CHD6	1
55636	CHD7	3
57680	CHD8	2
80205	CHD9	3
1111	CHEK1	30
11200	CHEK2	29
10523	CHERP	2
55743	CHFR	1
1113	CHGA	1
1116	CHI3L1	1
26511	CHIC2	1
66005	CHID1	2
592974	CHK1	1
692482	CHK2	1
1121	CHM	1
1122	CHML	1
5119	CHMP1A	3
27243	CHMP2A	1
25978	CHMP2B	2
29082	CHMP4A	2
128866	CHMP4B	1
92421	CHMP4C	1
51510	CHMP5	2
79643	CHMP6	2
91782	CHMP7	3
26973	CHORDC1	5
11261	CHP1	2
1128	CHRM1	8
1129	CHRM2	6
1131	CHRM3	7
1132	CHRM4	4
1133	CHRM5	4
1134	CHRNA1	1
57053	CHRNA10	1
1135	CHRNA2	1
1136	CHRNA3	8
1137	CHRNA4	17
1138	CHRNA5	4
1139	CHRNA7	11
55584	CHRNA9	2
1140	CHRNB1	3
1141	CHRNB2	19
1143	CHRNB4	9
1144	CHRND	1
1145	CHRNE	1
1146	CHRNG	1
113189	CHST14	1
23563	CHST5	1
56548	CHST7	1
337876	CHSY3	1
63922	CHTF18	3
54921	CHTF8	2
26097	CHTOP	2
1147	CHUK	46
9391	CIAO1	4
84191	CIAO2A	2
51647	CIAO2B	1
57019	CIAPIN1	5
10519	CIB1	2
23152	CIC	2
27141	CIDEB	2
4261	CIITA	1
8483	CILP	1
57650	CIP2A	2
9541	CIR1	1
1153	CIRBP	2
55847	CISD1	2
493856	CISD2	1
11113	CIT	3
10370	CITED2	2
25792	CIZ1	2
26586	CKAP2	3
10970	CKAP4	6
9793	CKAP5	4
1152	CKB	14
1158	CKM	10
548596	CKMT1A	1
1159	CKMT1B	4
1160	CKMT2	3
1163	CKS1B	4
1164	CKS2	1
23332	CLASP1	4
23122	CLASP2	3
11129	CLASRP	1
1178	CLC	1
23155	CLCC1	3
1182	CLCN3	4
1186	CLCN7	1
9076	CLDN1	15
9071	CLDN10	1
5010	CLDN11	2
9069	CLDN12	2
9075	CLDN2	6
137075	CLDN23	1
1365	CLDN3	10
1364	CLDN4	12
7122	CLDN5	9
9074	CLDN6	1
1366	CLDN7	2
9073	CLDN8	2
56650	CLDND1	1
6320	CLEC11A	1
23274	CLEC16A	2
7123	CLEC3B	3
50856	CLEC4A	1
64581	CLEC7A	1
1047	CLGN	1
1192	CLIC1	10
1193	CLIC2	1
9022	CLIC3	2
25932	CLIC4	4
9685	CLINT1	3
6249	CLIP1	4
7461	CLIP2	2
1195	CLK1	1
1196	CLK2	1
1198	CLK3	4
79789	CLMN	2
1201	CLN3	5
1203	CLN5	1
54982	CLN6	1
1207	CLNS1A	2
9575	CLOCK	4
10978	CLP1	1
81570	CLPB	3
8192	CLPP	1
1208	CLPS	1
1209	CLPTM1	3
81037	CLPTM1L	1
10845	CLPX	2
63967	CLSPN	2
22883	CLSTN1	1
1211	CLTA	2
1212	CLTB	4
1213	CLTC	4
1191	CLU	15
23059	CLUAP1	1
23277	CLUH	3
55907	CMAS	2
134147	CMBL	3
152100	CMC1	1
56942	CMC2	1
53561	CMET	1
80790	CMIP	3
1240	CMKLR1	1
51727	CMPK1	2
129607	CMPK2	1
84319	CMSS1	1
146223	CMTM4	1
54918	CMTM6	3
23070	CMTR1	4
202333	CMYA5	1
7555	CNBP	2
55748	CNDP2	3
255919	CNEP1R1	1
1258	CNGB1	1
29097	CNIH4	2
10256	CNKSR1	1
154043	CNKSR3	1
1264	CNN1	2
1265	CNN2	3
1266	CNN3	4
54805	CNNM2	2
26505	CNNM3	2
26504	CNNM4	2
23019	CNOT1	5
25904	CNOT10	2
55571	CNOT11	2
4848	CNOT2	2
4849	CNOT3	3
4850	CNOT4	1
246175	CNOT6L	1
29883	CNOT7	1
9125	CNOT9	2
1267	CNP	4
10330	CNPY2	4
10695	CNPY3	1
1268	CNR1	6
1269	CNR2	8
1270	CNTF	6
1272	CNTN1	1
8506	CNTNAP1	1
26047	CNTNAP2	1
11064	CNTRL	2
28958	COA3	2
65260	COA7	1
80347	COASY	3
23242	COBL	2
22837	COBLL1	3
1690	COCH	3
9382	COG1	4
22796	COG2	2
83548	COG3	4
25839	COG4	2
10466	COG5	2
91949	COG7	3
8161	COIL	3
1300	COL10A1	2
1302	COL11A2	1
1303	COL12A1	3
1306	COL15A1	3
1308	COL17A1	2
80781	COL18A1	5
1277	COL1A1	19
1278	COL1A2	5
1280	COL2A1	5
1281	COL3A1	10
1282	COL4A1	1
1284	COL4A2	5
1286	COL4A4	1
1287	COL4A5	1
1288	COL4A6	1
1289	COL5A1	3
1290	COL5A2	3
50509	COL5A3	1
1291	COL6A1	3
1292	COL6A2	2
1293	COL6A3	3
1294	COL7A1	2
1295	COL8A1	2
1299	COL9A3	2
79709	COLGALT1	2
150684	COMMD1	2
51122	COMMD2	1
23412	COMMD3	2
54939	COMMD4	2
170622	COMMD6	1
54951	COMMD8	1
29099	COMMD9	2
1311	COMP	1
1312	COMT	26
118881	COMTD1	1
1314	COPA	5
1315	COPB1	2
9276	COPB2	5
11316	COPE	5
22820	COPG1	3
26958	COPG2	3
55352	COPRS	1
9318	COPS2	1
8533	COPS3	5
51138	COPS4	3
10987	COPS5	4
10980	COPS6	2
50813	COPS7A	3
64708	COPS7B	2
10920	COPS8	1
22818	COPZ1	3
51117	COQ4	1
51004	COQ6	1
79934	COQ8B	1
57017	COQ9	3
11151	CORO1A	3
57175	CORO1B	2
23603	CORO1C	3
84940	CORO6	1
79585	CORO7	1
100529144	CORO7-PAM16	2
23406	COTL1	4
4512	COX1	7
1355	COX15	2
10063	COX17	5
4513	COX2	14
116228	COX20	2
4514	COX3	2
35279	COX4	5
1327	COX4I1	15
9377	COX5A	6
1329	COX5B	7
1340	COX6B1	2
125965	COX6B2	1
1345	COX6C	3
1346	COX7A1	1
1347	COX7A2	2
9167	COX7A2L	2
1349	COX7B	1
1350	COX7C	2
1356	CP	15
51200	CPA4	3
1361	CPB2	3
1362	CPD	4
1363	CPE	1
132864	CPEB2	1
80315	CPEB4	1
10814	CPLX2	1
1368	CPM	2
1369	CPN1	1
1370	CPN2	3
8904	CPNE1	4
221184	CPNE2	2
8895	CPNE3	3
9362	CPNE6	1
27132	CPNE7	1
144402	CPNE8	2
1371	CPOX	3
10404	CPQ	2
1373	CPS1	8
29894	CPSF1	4
53981	CPSF2	3
51692	CPSF3	2
10898	CPSF4	2
11052	CPSF6	4
79869	CPSF7	5
1374	CPT1A	12
1376	CPT2	5
54504	CPVL	1
1378	CR1	1
1381	CRABP1	5
1382	CRABP2	4
57482	CRACD	1
8738	CRADD	1
57585	CRAMP1	1
1384	CRAT	1
51185	CRBN	4
1385	CREB1	47
10488	CREB3	1
64764	CREB3L2	1
1387	CREBBP	26
8804	CREG1	2
78987	CRELD1	3
79174	CRELD2	1
1390	CREM	3
1392	CRH	8
1394	CRHR1	2
51232	CRIM1	4
1396	CRIP1	3
1397	CRIP2	3
9419	CRIPT	3
1398	CRK	3
1399	CRKL	3
51379	CRLF3	2
1400	CRMP1	2
54677	CROT	2
1401	CRP	54
10491	CRTAP	2
23373	CRTC1	1
200186	CRTC2	3
64784	CRTC3	3
1410	CRYAB	3
55057	CRYBG2	2
131544	CRYBG3	2
155051	CRYGN	1
51084	CRYL1	2
1428	CRYM	2
1429	CRYZ	3
9946	CRYZL1	1
1431	CS	10
51380	CSAD	1
27254	CSDC2	1
7812	CSDE1	4
1434	CSE1L	5
1435	CSF1	6
1436	CSF1R	4
1437	CSF2	38
1440	CSF3	10
1441	CSF3R	1
55790	CSGALNACT1	1
1442	CSH1	1
1445	CSK	5
1452	CSNK1A1	4
1453	CSNK1D	4
1454	CSNK1E	3
1456	CSNK1G3	2
1457	CSNK2A1	8
1459	CSNK2A2	4
283106	CSNK2A3	1
1460	CSNK2B	5
1464	CSPG4	1
79848	CSPP1	2
1465	CSRP1	7
1466	CSRP2	3
1469	CST1	2
1471	CST3	3
1474	CST6	2
8530	CST7	1
1475	CSTA	1
1476	CSTB	4
1477	CSTF1	3
1478	CSTF2	6
23283	CSTF2T	1
1479	CSTF3	4
1485	CTAG1B	2
100128553	CTAGE4	1
1487	CTBP1	2
1488	CTBP2	3
10664	CTCF	4
23399	CTDNEP1	1
9150	CTDP1	2
58190	CTDSP1	1
10217	CTDSPL	2
51496	CTDSPL2	2
1489	CTF1	1
1491	CTH	8
115908	CTHRC1	2
1495	CTNNA1	8
1496	CTNNA2	2
8727	CTNNAL1	2
1499	CTNNB1	82
56998	CTNNBIP1	2
56259	CTNNBL1	2
1500	CTNND1	7
1503	CTPS1	5
56474	CTPS2	3
9646	CTR9	1
1506	CTRL	1
5476	CTSA	4
1508	CTSB	26
1075	CTSC	3
1509	CTSD	18
1511	CTSG	2
1512	CTSH	1
1513	CTSK	2
1514	CTSL	11
1518	CTSLP8	2
1520	CTSS	2
1522	CTSZ	1
2017	CTTN	7
83992	CTTNBP2	1
55917	CTTNBP2NL	3
348180	CTU2	1
79004	CUEDC2	1
8454	CUL1	1
8453	CUL2	2
8452	CUL3	5
8451	CUL4A	2
8450	CUL4B	6
8065	CUL5	1
9820	CUL7	2
51596	CUTA	3
51076	CUTC	2
1523	CUX1	4
57703	CWC22	3
54883	CWC25	2
10283	CWC27	1
55280	CWF19L1	1
143884	CWF19L2	1
6376	CX3CL1	7
1524	CX3CR1	1
1525	CXADR	5
2919	CXCL1	7
3627	CXCL10	23
6387	CXCL12	20
9547	CXCL14	2
58191	CXCL16	2
2920	CXCL2	7
6374	CXCL5	9
6372	CXCL6	1
3576	CXCL8	181
4283	CXCL9	4
3577	CXCR1	5
3579	CXCR2	6
2833	CXCR3	2
7852	CXCR4	18
643	CXCR5	1
159013	CXORF38	1
30827	CXXC1	1
1528	CYB5A	4
80777	CYB5B	2
51706	CYB5R1	1
1727	CYB5R3	3
51167	CYB5R4	1
1535	CYBA	8
1536	CYBB	8
79415	CYBC1	1
79901	CYBRD1	2
1537	CYC1	5
37618	CYCB	1
54205	CYCS	71
23191	CYFIP1	2
26999	CYFIP2	3
114757	CYGB	1
1540	CYLD	5
1583	CYP11A1	5
1584	CYP11B1	9
1585	CYP11B2	8
1586	CYP17A1	19
1588	CYP19A1	51
140634	CYP1A	1
1543	CYP1A1	136
1544	CYP1A2	122
1545	CYP1B1	84
1589	CYP21A2	3
1591	CYP24A1	6
1592	CYP26A1	4
56603	CYP26B1	2
340665	CYP26C1	3
1593	CYP27A1	6
1594	CYP27B1	4
1553	CYP2A13	7
1548	CYP2A6	43
13088	CYP2B10	1
1555	CYP2B6	53
100328933	CYP2C	3
1562	CYP2C18	5
1557	CYP2C19	77
13095	CYP2C29	1
72082	CYP2C55	1
1558	CYP2C8	57
1559	CYP2C9	102
1565	CYP2D6	86
1571	CYP2E1	61
1572	CYP2F1	1
1573	CYP2J2	27
29785	CYP2S1	5
13112	CYP3A11	1
266682	CYP3A2	1
1576	CYP3A4	209
64816	CYP3A43	2
1577	CYP3A5	51
1551	CYP3A7	8
10858	CYP46A1	5
13117	CYP4A10	1
1579	CYP4A11	6
57834	CYP4F11	2
66002	CYP4F12	1
8529	CYP4F2	4
4051	CYP4F3	1
199974	CYP4Z1	1
1595	CYP51A1	9
83530	CYP51A1P2	1
1581	CYP7A1	10
9420	CYP7B1	1
1582	CYP8B1	1
78996	CYREN	1
51571	CYRIB	2
10800	CYSLTR1	4
57105	CYSLTR2	3
4519	CYTB	5
9265	CYTH3	1
54987	CZIB	2
728294	D2HGDH	1
23002	DAAM1	1
1601	DAB2	6
153090	DAB2IP	4
147906	DACT3	2
1603	DAD1	3
1605	DAG1	2
747	DAGLA	1
221955	DAGLB	3
55152	DALRD3	1
1610	DAO	1
1611	DAP	2
7818	DAP3	1
1612	DAPK1	7
23604	DAPK2	2
1613	DAPK3	4
1615	DARS1	3
55157	DARS2	2
1616	DAXX	8
26528	DAZAP1	2
10926	DBF4	1
1621	DBH	2
1622	DBI	1
1627	DBN1	7
55861	DBNDD2	1
28988	DBNL	5
51163	DBR1	1
1629	DBT	2
9730	DCAF1	2
79269	DCAF10	3
80344	DCAF11	2
25853	DCAF12	2
90379	DCAF15	1
8816	DCAF5	1
55827	DCAF6	2
10238	DCAF7	1
79877	DCAKD	2
285761	DCBLD1	2
131566	DCBLD2	3
1630	DCC	2
117159	DCD	4
51473	DCDC2	1
8642	DCHS1	1
54798	DCHS2	1
1633	DCK	4
9201	DCLK1	2
9937	DCLRE1A	1
1634	DCN	4
55802	DCP1A	3
196513	DCP1B	1
167227	DCP2	3
28960	DCPS	4
1638	DCT	8
1635	DCTD	2
1639	DCTN1	2
10540	DCTN2	3
11258	DCTN3	2
51164	DCTN4	3
79077	DCTPP1	2
54165	DCUN1D1	1
123879	DCUN1D3	1
51181	DCXR	5
23576	DDAH1	1
23564	DDAH2	2
1642	DDB1	3
1643	DDB2	4
1644	DDC	5
80821	DDHD1	1
84301	DDI2	5
1649	DDIT3	85
54541	DDIT4	9
1650	DDOST	2
780	DDR1	3
4921	DDR2	2
65992	DDRGK1	4
1652	DDT	5
1653	DDX1	4
1662	DDX10	2
100302090	DDX11L8	1
10521	DDX17	4
8886	DDX18	2
55308	DDX19A	3
11218	DDX20	4
9188	DDX21	4
9416	DDX23	3
57062	DDX24	2
55661	DDX27	2
64794	DDX31	1
10212	DDX39A	6
7919	DDX39B	5
1654	DDX3X	7
8653	DDX3Y	1
51428	DDX41	1
11325	DDX42	6
9879	DDX46	7
51202	DDX47	2
54555	DDX49	2
1655	DDX5	6
79009	DDX50	2
317781	DDX51	2
11056	DDX52	1
79039	DDX54	3
57696	DDX55	1
54606	DDX56	2
83479	DDX59	3
1656	DDX6	1
10522	DEAF1	2
1666	DECR1	2
26063	DECR2	2
50619	DEF6	2
54849	DEF8	1
1667	DEFA1	4
100294660	DEFA2	2
1668	DEFA3	3
245913	DEFB110	1
1673	DEFB4A	1
8560	DEGS1	1
7913	DEK	15
404636	DENND10	1
57706	DENND1A	1
27147	DENND2A	1
6764	DENND2B	1
22898	DENND3	1
10260	DENND4A	3
9909	DENND4B	1
55667	DENND4C	4
160518	DENND5B	1
201627	DENND6A	1
8562	DENR	2
55789	DEPDC1B	1
9681	DEPDC5	1
64798	DEPTOR	1
51071	DERA	2
79139	DERL1	2
51009	DERL2	1
1674	DES	4
51029	DESI2	1
1676	DFFA	8
1677	DFFB	4
8694	DGAT1	3
84649	DGAT2	4
8214	DGCR6	1
54487	DGCR8	1
8527	DGKD	2
139189	DGKK	1
1609	DGKQ	1
8525	DGKZ	1
1718	DHCR24	3
1717	DHCR7	2
1719	DHFR	13
1723	DHODH	4
1725	DHPS	2
115817	DHRS1	2
79154	DHRS11	14
79758	DHRS12	1
10202	DHRS2	1
9249	DHRS3	1
10901	DHRS4	1
51635	DHRS7	3
25979	DHRS7B	1
10170	DHRS9	2
55526	DHTKD1	2
1665	DHX15	5
8449	DHX16	3
54505	DHX29	3
22907	DHX30	5
170506	DHX36	6
57647	DHX37	1
9785	DHX38	4
79665	DHX40	2
90957	DHX57	2
1659	DHX8	4
1660	DHX9	1
56616	DIABLO	27
1729	DIAPH1	3
1730	DIAPH2	1
81624	DIAPH3	1
23405	DICER1	8
11083	DIDO1	3
27292	DIMT1	1
1733	DIO1	9
1734	DIO2	12
1735	DIO3	7
23181	DIP2A	1
57609	DIP2B	4
388650	DIPK1A	2
22894	DIS3	3
129563	DIS3L2	3
27185	DISC1	2
85458	DIXDC1	1
1736	DKC1	3
22943	DKK1	14
27122	DKK3	4
1737	DLAT	2
10395	DLC1	3
1738	DLD	3
8847	DLEU2	1
1739	DLG1	6
1740	DLG2	2
1741	DLG3	1
1742	DLG4	7
9231	DLG5	2
22839	DLGAP4	1
9787	DLGAP5	5
8788	DLK1	2
54567	DLL4	1
1743	DLST	5
1746	DLX2	1
1749	DLX5	1
27109	DMAC2L	1
55929	DMAP1	2
1755	DMBT1	3
1756	DMD	6
29958	DMGDH	1
2039	DMTN	1
1762	DMWD	2
1657	DMXL1	4
23312	DMXL2	3
123872	DNAAF1	1
54919	DNAAF5	1
25981	DNAH1	2
196385	DNAH10	2
8632	DNAH17	1
55567	DNAH3	1
56171	DNAH7	1
1769	DNAH8	1
1770	DNAH9	1
3301	DNAJA1	4
10294	DNAJA2	1
9093	DNAJA3	2
55466	DNAJA4	1
3337	DNAJB1	5
51726	DNAJB11	5
54788	DNAJB12	2
374407	DNAJB13	2
11080	DNAJB4	2
10049	DNAJB6	4
150353	DNAJB7	1
4189	DNAJB9	1
64215	DNAJC1	2
54431	DNAJC10	3
55735	DNAJC11	1
56521	DNAJC12	1
23317	DNAJC13	2
29103	DNAJC15	1
23341	DNAJC16	1
27000	DNAJC2	3
51277	DNAJC27	2
5611	DNAJC3	2
3338	DNAJC4	1
80331	DNAJC5	4
9829	DNAJC6	1
7266	DNAJC7	3
22826	DNAJC8	1
23234	DNAJC9	2
1773	DNASE1	2
1776	DNASE1L3	1
1777	DNASE2	1
92737	DNER	1
144132	DNHD1	1
728489	DNLZ	1
1759	DNM1	4
10059	DNM1L	28
1785	DNM2	4
23268	DNMBP	1
1786	DNMT1	30
1788	DNMT3A	11
1789	DNMT3B	19
29947	DNMT3L	2
23549	DNPEP	3
10591	DNPH1	2
116092	DNTTIP1	1
30836	DNTTIP2	3
1793	DOCK1	3
55619	DOCK10	2
139818	DOCK11	1
9732	DOCK4	4
80005	DOCK5	3
57572	DOCK6	1
85440	DOCK7	2
81704	DOCK8	1
23348	DOCK9	1
1796	DOK1	2
79930	DOK3	1
55715	DOK4	1
22845	DOLK	1
29980	DONSON	3
23033	DOP1A	1
9980	DOP1B	2
84444	DOT1L	2
1798	DPAGT1	1
25911	DPCD	1
5977	DPF2	3
1802	DPH2	1
8813	DPM1	2
54344	DPM3	1
10072	DPP3	3
1803	DPP4	4
29952	DPP7	1
54878	DPP8	1
91039	DPP9	3
151871	DPPA2	1
55211	DPPA4	1
23333	DPY19L1	2
84661	DPY30	1
1806	DPYD	8
1807	DPYS	1
1808	DPYSL2	8
1809	DPYSL3	3
56896	DPYSL5	1
1810	DR1	2
55332	DRAM1	1
10589	DRAP1	4
116749	DRB1	1
1812	DRD1	10
1813	DRD2	15
1814	DRD3	5
1815	DRD4	2
4733	DRG1	2
1819	DRG2	2
29102	DROSHA	2
1821	DRP2	1
1823	DSC1	1
1824	DSC2	2
1825	DSC3	1
79075	DSCC1	2
29940	DSE	3
1828	DSG1	2
1829	DSG2	4
79980	DSN1	1
1832	DSP	7
1834	DSPP	2
667	DST	9
11034	DSTN	2
92675	DTD1	2
51514	DTL	3
1837	DTNA	2
84062	DTNBP1	3
151636	DTX3L	1
1841	DTYMK	5
53905	DUOX1	1
50506	DUOX2	1
54920	DUS2	2
56931	DUS3L	2
1843	DUSP1	6
11221	DUSP10	2
8446	DUSP11	1
11266	DUSP12	2
80824	DUSP16	1
142679	DUSP19	1
1844	DUSP2	1
338599	DUSP29	1
1845	DUSP3	1
1846	DUSP4	3
1847	DUSP5	3
1848	DUSP6	2
1852	DUSP9	1
1854	DUT	5
1855	DVL1	1
1856	DVL2	5
1857	DVL3	1
54808	DYM	1
1778	DYNC1H1	3
1781	DYNC1I2	4
51143	DYNC1LI1	5
1783	DYNC1LI2	4
79659	DYNC2H1	1
89891	DYNC2I2	1
8655	DYNLL1	2
140735	DYNLL2	3
83658	DYNLRB1	1
83657	DYNLRB2	1
6993	DYNLT1	2
6990	DYNLT3	1
1859	DYRK1A	5
9149	DYRK1B	1
8445	DYRK2	2
8291	DYSF	1
22873	DZIP1	1
9666	DZIP3	2
1869	E2F1	25
1870	E2F2	3
1871	E2F3	3
1874	E2F4	3
144455	E2F7	2
79733	E2F8	2
85403	EAF1	1
55840	EAF2	1
55837	EAPP	3
124454	EARS2	1
9166	EBAG9	2
64641	EBF2	1
10969	EBNA1BP2	1
10682	EBP	2
11319	ECD	2
1889	ECE1	3
9718	ECE2	1
1891	ECH1	4
55862	ECHDC1	2
79746	ECHDC3	1
1892	ECHS1	4
1632	ECI1	2
10455	ECI2	3
1893	ECM1	1
23392	ECPAS	2
51295	ECSIT	1
1894	ECT2	3
128178	EDARADD	1
80153	EDC3	3
23644	EDC4	3
80267	EDEM3	2
8721	EDF1	1
10085	EDIL3	1
1906	EDN1	49
1907	EDN2	1
1908	EDN3	1
1909	EDNRA	7
1910	EDNRB	2
8411	EEA1	3
8726	EED	2
1915	EEF1A1	9
158078	EEF1A1P5	1
1917	EEF1A2	5
221143	EEF1AKMT1	2
399818	EEF1AKMT2	2
110599564	EEF1AKMT4	1
1933	EEF1B2	8
1936	EEF1D	8
9521	EEF1E1	2
1937	EEF1G	8
1938	EEF2	8
29904	EEF2K	1
60678	EEFSEC	1
399665	EEIG1	1
80820	EEPD1	1
124989	EFCAB13	1
84455	EFCAB7	2
2202	EFEMP1	1
80303	EFHD1	3
79180	EFHD2	3
79631	EFL1	1
1942	EFNA1	1
1948	EFNB2	2
23167	EFR3A	3
9343	EFTUD2	3
1950	EGF	57
51162	EGFL7	1
80864	EGFL8	1
1956	EGFR	104
54583	EGLN1	14
112399	EGLN3	2
1958	EGR1	25
23301	EHBP1	4
254102	EHBP1L1	3
10938	EHD1	3
30846	EHD2	6
30844	EHD4	5
1962	EHHADH	3
79813	EHMT1	1
10919	EHMT2	7
9538	EI24	3
10209	EIF1	4
1964	EIF1AX	3
9086	EIF1AY	1
10289	EIF1B	1
83939	EIF2A	20
27102	EIF2AK1	2
5610	EIF2AK2	7
9451	EIF2AK3	42
440275	EIF2AK4	3
1967	EIF2B1	3
8892	EIF2B2	3
8891	EIF2B3	2
8890	EIF2B4	4
8893	EIF2B5	4
1939	EIF2D	1
1965	EIF2S1	40
8894	EIF2S2	5
1968	EIF2S3	2
8661	EIF3A	7
8662	EIF3B	8
8663	EIF3C	3
8664	EIF3D	2
3646	EIF3E	3
8665	EIF3F	6
8666	EIF3G	5
8667	EIF3H	4
8668	EIF3I	4
8669	EIF3J	3
27335	EIF3K	6
51386	EIF3L	4
10480	EIF3M	4
1973	EIF4A1	10
1974	EIF4A2	2
9775	EIF4A3	5
1975	EIF4B	8
319118	EIF4BP1	2
1977	EIF4E	20
9470	EIF4E2	1
1978	EIF4EBP1	41
1979	EIF4EBP2	1
8637	EIF4EBP3	3
56478	EIF4ENIF1	2
1981	EIF4G1	10
1982	EIF4G2	9
8672	EIF4G3	2
7458	EIF4H	6
1983	EIF5	5
1984	EIF5A	7
9669	EIF5B	5
3692	EIF6	4
7260	EIPR1	3
403061	ELA2	1
60528	ELAC2	3
1991	ELANE	8
57535	ELAPOR1	1
1994	ELAVL1	14
1997	ELF1	4
1998	ELF2	2
1999	ELF3	4
2000	ELF4	1
2001	ELF5	1
2002	ELK1	16
2004	ELK3	1
8178	ELL	1
22936	ELL2	1
80237	ELL3	2
63916	ELMO2	5
255520	ELMOD2	1
2006	ELN	1
6924	ELOA	2
6923	ELOB	3
