threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.1	9	320	0.561	0.357	145.475
0.1	9	340	0.568	0.321	175.96
0.1	9	360	0.576	0.291	226.688
0.1	9	380	0.583	0.252	301.441
0.1	9	400	0.591	0.223	415.316
0.1	9	420	0.592	0.199	534.226
0.1	9	440	0.597	0.197	687.103
0.1	9	460	0.601	0.213	801.802
0.1	9	480	0.601	0.213	801.802
0.1	9	500	0.601	0.213	801.802
0.1	9	520	0.601	0.213	801.802
0.1	9	540	0.601	0.213	801.802
0.1	9	560	0.601	0.213	801.802
0.1	9	580	0.601	0.213	801.802
0.1	9	600	0.601	0.213	801.802
0.1	10	20	0.311	1.475	101.747
0.1	10	40	0.378	1.294	84.115
0.1	10	60	0.433	1.192	78.65
0.1	10	80	0.46	1.147	74.948
0.1	10	100	0.485	1.048	72.972
0.1	10	120	0.505	0.96	72.616
0.1	10	140	0.52	0.874	73.008
0.1	10	160	0.526	0.804	73.887
0.1	10	180	0.532	0.729	75.848
0.1	10	200	0.536	0.672	78.809
0.1	10	220	0.543	0.614	84.348
0.1	10	240	0.548	0.563	90.929
0.1	10	260	0.548	0.509	98.956
0.1	10	280	0.551	0.453	109.822
0.1	10	300	0.553	0.4	123.168
0.1	10	320	0.556	0.353	142.319
0.1	10	340	0.562	0.319	170.834
0.1	10	360	0.569	0.287	218.151
0.1	10	380	0.581	0.248	297.297
0.1	10	400	0.588	0.214	409.025
0.1	10	420	0.593	0.19	544.886
0.1	10	440	0.598	0.194	669.631
0.1	10	460	0.6	0.204	733.302
0.1	10	480	0.6	0.204	733.302
0.1	10	500	0.6	0.204	733.302
0.1	10	520	0.6	0.204	733.302
0.1	10	540	0.6	0.204	733.302
0.1	10	560	0.6	0.204	733.302
0.1	10	580	0.6	0.204	733.302
0.1	10	600	0.6	0.204	733.302
0.1	11	20	0.315	1.484	100.803
0.1	11	40	0.374	1.317	83.132
0.1	11	60	0.436	1.202	78.965
0.1	11	80	0.461	1.139	74.486
0.1	11	100	0.479	1.051	72.384
0.1	11	120	0.502	0.967	72.417
0.1	11	140	0.517	0.88	72.599
0.1	11	160	0.528	0.811	74.543
0.1	11	180	0.534	0.733	76.394
0.1	11	200	0.54	0.673	80.158
0.1	11	220	0.543	0.617	85.03
0.1	11	240	0.546	0.565	91.243
0.1	11	260	0.551	0.512	99.579
0.1	11	280	0.552	0.457	110.71
