Cluster	No_of_drugs	No_of_drugs_with_mcs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
10	19	17	136	0.266666666666667	1	0.53187180573984	0.5
11	16	16	120	0.193548387096774	1	0.434975213616368	0.416666666666667
12	15	13	78	0.227272727272727	0.857142857142857	0.440599023248948	0.409090909090909
13	14	14	91	0.166666666666667	0.8	0.418639372909097	0.411764705882353
14	14	14	91	0.241379310344828	1	0.620291997047761	0.681818181818182
15	13	12	66	0	0.952380952380952	0.432797686714352	0.388888888888889
16	12	12	66	0.25	1	0.496614549724598	0.470175438596491
17	12	10	45	0.238095238095238	0.952380952380952	0.576010101010101	0.619047619047619
18	12	11	55	0.142857142857143	0.916666666666667	0.509424783004574	0.5
19	11	11	55	0.37037037037037	1	0.643779597576144	0.619047619047619
20	11	11	55	0.126984126984127	0.869565217391304	0.444392202859221	0.4375
21	9	9	36	0.2	0.875	0.426763394557512	0.405882352941176
22	9	9	36	0.236842105263158	0.75	0.534593184724056	0.522727272727272
23	9	9	36	0.3	0.916666666666667	0.582748539586775	0.588235294117647
24	9	9	36	0.266666666666667	1	0.583961954819513	0.55
25	8	8	28	0.181818181818182	0.727272727272727	0.408675401978973	0.369318181818182
26	8	8	28	0.315789473684211	0.916666666666667	0.478111846745387	0.424812030075188
27	7	6	15	0.217391304347826	0.909090909090909	0.508948684166075	0.461538461538462
28	7	7	21	0.194444444444444	0.7	0.430851799601799	0.40625
29	6	6	15	0.228571428571429	0.666666666666667	0.445324675324675	0.428571428571429
30	6	6	15	0.36	0.846153846153846	0.486177655677656	0.4375
31	6	6	15	0.333333333333333	1	0.503801169590643	0.473684210526316
32	6	6	15	0.115942028985507	0.75	0.44271687965541	0.448275862068966
33	5	5	10	0.411764705882353	0.75	0.557436974789916	0.470588235294118
34	5	5	10	0.3	0.666666666666667	0.499275362318841	0.533333333333333
35	5	5	10	0.142857142857143	0.772727272727273	0.336705749493473	0.319327731092437
36	5	5	10	0.181818181818182	0.636363636363636	0.380127360562143	0.384920634920635
37	5	5	10	0.379310344827586	0.842105263157895	0.58987908643081	0.568181818181818
38	5	5	10	0.352941176470588	0.909090909090909	0.622105614973262	0.59375
39	5	5	10	0.162162162162162	0.838709677419355	0.437036170710443	0.466216216216216
40	5	5	10	0.258064516129032	0.933333333333333	0.478780433622127	0.395652173913044
41	5	5	10	0.25	0.958333333333333	0.493419822346891	0.42271505376344
42	4	4	6	0.388888888888889	0.733333333333333	0.609259259259259	0.636363636363636
43	4	4	6	0.181818181818182	0.727272727272727	0.412587412587413	0.374125874125875
44	4	4	6	0.2	0.666666666666667	0.412393162393162	0.4
45	4	4	6	0.25	0.739130434782609	0.494162640901771	0.454911433172303
46	4	2	1	0.4	0.4	0.4	0.4
47	4	4	6	0.473684210526316	0.666666666666667	0.564814814814815	0.54093567251462
48	4	4	6	0.255813953488372	0.909090909090909	0.556945423224493	0.512626262626263
49	4	4	6	0.178571428571429	0.583333333333333	0.323412698412698	0.285714285714285
50	4	3	3	0.294117647058824	0.615384615384615	0.457013574660634	0.461538461538462
51	4	4	6	0.37037037037037	0.571428571428571	0.460537918871252	0.458333333333333
52	4	4	6	0.307692307692308	0.5	0.41283175888439	0.417982456140351
53	3	3	3	0.2	0.466666666666667	0.311111111111111	0.266666666666667
54	3	3	3	0.379310344827586	0.625	0.522270114942529	0.5625
55	3	3	3	0.45	0.736842105263158	0.606140350877193	0.631578947368421
56	3	2	1	0.307692307692308	0.307692307692308	0.307692307692308	0.307692307692308
57	3	3	3	0.454545454545455	0.9	0.618181818181818	0.5
58	3	3	3	0	0.333333333333333	0.21021021021021	0.297297297297297
59	3	3	3	0.555555555555556	0.857142857142857	0.708994708994709	0.714285714285714
60	3	3	3	0.444444444444444	0.666666666666667	0.57037037037037	0.6
61	3	3	3	0.45	0.5	0.483333333333333	0.5
62	3	3	3	0.153846153846154	0.91304347826087	0.406911928651059	0.153846153846154
63	3	3	3	0.315789473684211	0.764705882352941	0.47781217750258	0.352941176470588
64	3	3	3	0.185185185185185	0.538461538461538	0.395061728395062	0.461538461538462
65	3	3	3	0.214285714285714	0.45	0.371428571428571	0.45
66	3	2	1	0.25	0.25	0.25	0.25
67	2	2	1	0.478260869565217	0.478260869565217	0.478260869565217	0.478260869565217
68	2	2	1	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111
69	2	2	1	0.458333333333333	0.458333333333333	0.458333333333333	0.458333333333333
70	2	2	1	0.352941176470588	0.352941176470588	0.352941176470588	0.352941176470588
71	2	2	1	0.357142857142857	0.357142857142857	0.357142857142857	0.357142857142857
72	2	2	1	0.846153846153846	0.846153846153846	0.846153846153846	0.846153846153846
73	2	2	1	0.625	0.625	0.625	0.625
74	2	2	1	0.914285714285714	0.914285714285714	0.914285714285714	0.914285714285714
75	2	1	1	1	1	1	1
76	2	2	1	1	1	1	1
77	2	2	1	0.941176470588235	0.941176470588235	0.941176470588235	0.941176470588235
78	2	1	1	1	1	1	1
79	2	1	1	1	1	1	1
80	2	2	1	0.384615384615385	0.384615384615385	0.384615384615385	0.384615384615385
81	2	2	1	0.25	0.25	0.25	0.25
82	2	2	1	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522
83	2	2	1	0.4	0.4	0.4	0.4
84	2	2	1	0.5	0.5	0.5	0.5
85	2	2	1	0.625	0.625	0.625	0.625
86	2	2	1	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818
87	2	2	1	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111
88	2	2	1	0.294117647058824	0.294117647058824	0.294117647058824	0.294117647058824
89	2	2	1	0.230769230769231	0.230769230769231	0.230769230769231	0.230769230769231
90	2	2	1	0.25	0.25	0.25	0.25
91	2	2	1	0.4	0.4	0.4	0.4
92	2	2	1	1	1	1	1
93	2	2	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
