Cluster	No_of_drugs	No_of_drugs_with_mcs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	123	7503	0	1	0.465367201711936	0.45
2	56	56	1540	0.0714285714285714	1	0.494634004951132	0.5
3	37	37	666	0.192307692307692	1	0.525285837860344	0.5
4	36	36	630	0.117647058823529	1	0.482607309305489	0.454545454545455
5	35	35	595	0.145161290322581	1	0.476166489900732	0.461538461538462
6	26	26	325	0.133333333333333	1	0.424040573061179	0.409090909090909
7	25	25	300	0	1	0.455637657915247	0.454545454545455
8	24	23	253	0	1	0.490077260931931	0.478260869565217
9	20	18	153	0	0.95	0.43746573646002	0.411764705882353
10	19	17	136	0.266666666666667	1	0.53187180573984	0.5
11	16	16	120	0.193548387096774	1	0.434975213616368	0.416666666666667
12	15	13	78	0.227272727272727	0.857142857142857	0.440599023248948	0.409090909090909
13	14	14	91	0.25	1	0.522455836466197	0.5
14	14	14	91	0.166666666666667	0.8	0.418639372909097	0.411764705882353
15	14	13	78	0	0.952380952380952	0.43014232417303	0.388888888888889
16	14	14	91	0.241379310344828	1	0.620291997047761	0.681818181818182
17	12	10	45	0.238095238095238	0.952380952380952	0.576010101010101	0.619047619047619
18	12	11	55	0.142857142857143	0.916666666666667	0.509424783004574	0.5
19	11	11	55	0.37037037037037	1	0.643779597576144	0.619047619047619
20	11	11	55	0.126984126984127	0.869565217391304	0.444392202859221	0.4375
21	9	9	36	0.2	0.875	0.426763394557512	0.405882352941176
22	9	9	36	0.236842105263158	0.75	0.534593184724056	0.522727272727272
23	9	9	36	0.228571428571429	0.666666666666667	0.427492478472871	0.390625
24	9	9	36	0.3	0.916666666666667	0.582748539586775	0.588235294117647
25	9	9	36	0.266666666666667	1	0.583961954819513	0.55
26	8	8	28	0.181818181818182	0.727272727272727	0.408675401978973	0.369318181818182
27	8	8	28	0.315789473684211	0.916666666666667	0.478111846745387	0.424812030075188
28	7	7	21	0.194444444444444	0.7	0.430851799601799	0.40625
29	7	7	21	0.115942028985507	0.75	0.469665496050161	0.476190476190476
30	6	6	15	0.217391304347826	0.909090909090909	0.508948684166075	0.461538461538462
31	6	5	10	0.411764705882353	0.75	0.557436974789916	0.470588235294118
32	6	6	15	0.36	0.846153846153846	0.486177655677656	0.4375
33	6	6	15	0.162162162162162	0.92	0.518024113806962	0.5
34	5	5	10	0.125	0.733333333333333	0.467070707070707	0.461111111111111
35	5	5	10	0.2	0.681818181818182	0.443193473193473	0.404545454545455
36	5	5	10	0.291666666666667	0.785714285714286	0.533928571428571	0.5
37	5	5	10	0.3	0.666666666666667	0.499275362318841	0.533333333333333
38	5	5	10	0.142857142857143	0.772727272727273	0.336705749493473	0.319327731092437
39	5	5	10	0.181818181818182	0.636363636363636	0.380127360562143	0.384920634920635
40	5	5	10	0.379310344827586	0.842105263157895	0.58987908643081	0.568181818181818
41	5	5	10	0.178571428571429	0.583333333333333	0.344047619047619	0.375
42	5	5	10	0.352941176470588	0.909090909090909	0.622105614973262	0.59375
43	5	5	10	0.258064516129032	0.933333333333333	0.478780433622127	0.395652173913044
44	5	5	10	0.25	0.958333333333333	0.493419822346891	0.42271505376344
45	4	4	6	0.181818181818182	0.727272727272727	0.412587412587413	0.374125874125875
46	4	4	6	0.2	0.6	0.422222222222222	0.433333333333334
47	4	4	6	0.454545454545455	0.9	0.621212121212121	0.618181818181818
48	4	4	6	0.25	0.739130434782609	0.494162640901771	0.454911433172303
49	4	2	1	0.4	0.4	0.4	0.4
50	4	4	6	0.473684210526316	0.666666666666667	0.564814814814815	0.54093567251462
51	4	4	6	0.255813953488372	0.909090909090909	0.556945423224493	0.512626262626263
52	4	3	3	0.294117647058824	0.615384615384615	0.457013574660634	0.461538461538462
53	4	4	6	0.333333333333333	0.625	0.447916666666667	0.416666666666667
54	4	4	6	0.5	0.857142857142857	0.6494708994709	0.634920634920635
55	4	4	6	0.37037037037037	0.571428571428571	0.460537918871252	0.458333333333333
56	4	4	6	0.277777777777778	0.666666666666667	0.463888888888889	0.475
57	4	4	6	0.185185185185185	0.5625	0.422691120607787	0.5
58	4	4	6	0.188679245283019	0.625	0.408529874213837	0.41875
59	4	4	6	0.307692307692308	0.5	0.41283175888439	0.417982456140351
60	3	3	3	0.379310344827586	0.625	0.522270114942529	0.5625
61	3	3	3	0.45	0.736842105263158	0.606140350877193	0.631578947368421
62	3	3	3	0.352941176470588	0.666666666666667	0.562091503267974	0.666666666666667
63	3	2	1	0.307692307692308	0.307692307692308	0.307692307692308	0.307692307692308
64	3	3	3	0.363636363636364	0.657142857142857	0.491774891774892	0.454545454545455
65	3	3	3	0	0.333333333333333	0.21021021021021	0.297297297297297
66	3	3	3	0.307692307692308	0.466666666666667	0.413675213675214	0.466666666666667
67	3	3	3	0.458333333333333	0.714285714285714	0.557539682539682	0.5
68	3	3	3	0.35	0.578947368421053	0.467543859649123	0.473684210526316
69	3	3	3	0.444444444444444	0.666666666666667	0.57037037037037	0.6
70	3	3	3	0.378378378378378	0.914285714285714	0.564221364221364	0.4
71	3	2	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667
72	3	3	3	0.230769230769231	1	0.501165501165501	0.272727272727273
73	3	3	3	0.473684210526316	1	0.657894736842105	0.5
74	3	3	3	0.153846153846154	0.91304347826087	0.406911928651059	0.153846153846154
75	3	3	3	0.384615384615385	0.956521739130435	0.591973244147157	0.434782608695652
76	3	3	3	0.315789473684211	0.764705882352941	0.47781217750258	0.352941176470588
77	3	3	3	0.3	0.8	0.5	0.4
78	3	3	3	0.347826086956522	0.695652173913043	0.474262868565717	0.379310344827586
79	3	3	3	0.214285714285714	0.45	0.371428571428571	0.45
80	3	2	1	0.25	0.25	0.25	0.25
81	2	2	1	0.478260869565217	0.478260869565217	0.478260869565217	0.478260869565217
82	2	2	1	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111
83	2	2	1	0.416666666666667	0.416666666666667	0.416666666666667	0.416666666666667
